,Cost,# of Atoms,Peak OD, [Repump off],Repump Ampl [Compression],2nd MOT Ampl [Compression], [Compression],Repump Ampl [Cooling],HH x [],HH z [], [Cooling]
8,-834.3071819563532,31200098.711790923,2.9796636952611033,0.9,0.75,0.95,10.100000000000001,0.45,0.13,0.05,8.5
17,-541.7817429150404,27138511.67986154,2.604384212670769,2.9000000000000004,0.5,0.95,6.8,0.75,0.15,0.04,2.3000000000000003
13,-567.4997842171412,25235787.926752623,2.6578082423258182,2.4000000000000004,0.8,0.95,26.400000000000002,0.45,0.15,0.02,6.4
20,-866.6395121357341,25169310.860994183,3.0611946766055524,0.30000000000000004,0.4,0.9,24.8,0.35000000000000003,0.16999999999999998,0.02,9.4
19,-449.74555230503546,23042092.007607583,2.4745181292625866,1.8000000000000003,0.7000000000000001,0.75,16.8,0.55,0.16,0.06,0.8
10,-534.0913316892411,22976186.71562327,2.6209362850216418,0.7000000000000001,0.8500000000000001,0.7,30.0,0.65,0.13,0.02,6.7
7,-264.5232249680747,22636674.383172046,2.075727276514749,0.4,0.65,0.75,9.2,0.15000000000000002,0.13999999999999999,0.05,0.7000000000000001
0,-547.2628615402589,22365847.518128823,2.6470544286057605,[1.1],[0.55],[0.8],[6.3],[0.5],[0.17],[0.01],[9.4]
6,-336.779893592811,21645027.479108717,2.2564628432384723,2.1,0.7000000000000001,0.65,12.100000000000001,0.45,0.16999999999999998,0.03,5.4
23,-325.69276724012485,21471944.440769374,2.2326191771115886,1.6,0.15000000000000002,1.0,13.700000000000001,0.6000000000000001,0.13999999999999999,0.02,3.8000000000000003
24,-445.09117025818136,20056956.037826125,2.4888703099744958,1.1,1.0,0.75,14.5,0.45,0.15,0.01,2.3000000000000003
22,-285.0594988422488,19735502.738405768,2.147660487848053,2.4000000000000004,0.6000000000000001,0.95,10.2,0.9,0.12,0.01,9.5
11,-203.7786715573407,19649369.046484146,1.920879044432223,1.1,0.75,0.55,14.0,0.8,0.13,0.04,9.6
15,-349.6386103297768,19615595.432268858,2.299870515136477,1.9000000000000001,0.30000000000000004,0.8500000000000001,23.3,0.30000000000000004,0.13999999999999999,0.04,7.6
1,-155.32244708369115,17952363.754701722,1.7652545140644471,2.9000000000000004,0.15000000000000002,0.95,29.0,0.9500000000000001,0.15,0.0,1.1
18,-138.1664113530602,16108090.595966773,1.7100246938520043,2.9000000000000004,0.8,0.7,20.8,0.30000000000000004,0.13,0.02,1.7000000000000002
12,-112.16477479161183,14637841.512800612,1.6054322092040902,0.4,0.9500000000000001,0.6,22.5,0.30000000000000004,0.13,0.06,8.8
3,-62.06771561917847,13704991.84783013,1.3238393419285293,1.1,0.2,0.8,6.1,0.15000000000000002,0.13999999999999999,0.03,3.1
16,-45.83201095237872,11413574.31895322,1.2112520772564705,1.9000000000000001,0.55,0.65,23.6,0.2,0.15,0.01,8.7
21,-88.88764680819803,9641913.950532766,1.527602733435954,0.4,0.4,0.55,29.1,0.8,0.13999999999999999,0.02,3.9000000000000004
9,-22.450728704112226,9084512.355393238,0.9694632273256008,2.8000000000000003,0.7000000000000001,0.65,25.0,0.15000000000000002,0.13999999999999999,0.02,3.1
14,-34.260512454453455,8773593.497626003,1.1187362259324742,1.8000000000000003,0.9500000000000001,0.5,25.5,0.5,0.15,0.04,6.4
5,-1.1936797667073684,5167067.737394885,0.3785242226589335,2.2,0.35000000000000003,0.55,6.8,0.1,0.13,0.04,9.4
2,-0.885336480365308,4446750.8950988185,0.3460850811336928,0.9,0.1,0.9,15.600000000000001,0.2,0.16,0.05,9.0
4,-0.34063920279122006,3074642.64911606,0.2579895468775875,2.8000000000000003,0.4,0.5,19.1,0.1,0.13999999999999999,0.02,9.6
